Time,Latitude,Longitude,Altitude,Easting,Northing,Zone,Letter
64063,42.33594,8.766463333333334,38.1,480761.10546159174,4687102.760249848,32,T
64063,42.33594,8.766463333333334,38.1,480761.10546159174,4687102.760249848,32,T
64063,42.33594,8.766463333333334,38.1,480761.10546159174,4687102.760249848,32,T
64063,42.33594,8.766463333333334,38.1,480761.10546159174,4687102.760249848,32,T
64063,42.33594,8.766463333333334,38.1,480761.10546159174,4687102.760249848,32,T
64063,42.33594,8.766463333333334,38.1,480761.10546159174,4687102.760249848,32,T
64064,42.335951666666666,8.766448333333333,38.0,480759.87330796,4687104.059055876,32,T
64064,42.335951666666666,8.766448333333333,38.0,480759.87330796,4687104.059055876,32,T
64064,42.335951666666666,8.766448333333333,38.0,480759.87330796,4687104.059055876,32,T
64065,42.33596166666667,8.766436666666667,37.9,480758.91524881846,4687105.172049112,32,T
64065,42.33596166666667,8.766436666666667,37.9,480758.91524881846,4687105.172049112,32,T
64065,42.33596166666667,8.766436666666667,37.9,480758.91524881846,4687105.172049112,32,T
64066,42.335971666666666,8.766423333333334,37.9,480757.8198889523,4687106.285419449,32,T
64066,42.335971666666666,8.766423333333334,37.9,480757.8198889523,4687106.285419449,32,T
64066,42.335971666666666,8.766423333333334,37.9,480757.8198889523,4687106.285419449,32,T
64067,42.33598333333333,8.766408333333333,37.9,480756.5877365493,4687107.584226066,32,T
64067,42.33598333333333,8.766408333333333,37.9,480756.5877365493,4687107.584226066,32,T
64067,42.33598333333333,8.766408333333333,37.9,480756.5877365493,4687107.584226066,32,T
64068,42.33599666666667,8.766391666666667,37.9,480755.218791786,4687109.068469035,32,T
64068,42.33599666666667,8.766391666666667,37.9,480755.218791786,4687109.068469035,32,T
64068,42.33599666666667,8.766391666666667,37.9,480755.218791786,4687109.068469035,32,T
64068,42.33599666666667,8.766391666666667,37.9,480755.218791786,4687109.068469035,32,T
64068,42.33599666666667,8.766391666666667,37.9,480755.218791786,4687109.068469035,32,T
64068,42.33599666666667,8.766391666666667,37.9,480755.218791786,4687109.068469035,32,T
64069,42.33601,8.766376666666666,37.9,480753.98714855,4687110.552335233,32,T
64069,42.33601,8.766376666666666,37.9,480753.98714855,4687110.552335233,32,T
64069,42.33601,8.766376666666666,37.9,480753.98714855,4687110.552335233,32,T
64070,42.33602333333333,8.766363333333334,37.6,480752.89280675637,4687112.035824584,32,T
64070,42.33602333333333,8.766363333333334,37.6,480752.89280675637,4687112.035824584,32,T
64070,42.33602333333333,8.766363333333334,37.6,480752.89280675637,4687112.035824584,32,T
64071,42.336036666666665,8.766346666666667,37.5,480751.523863649,4687113.520068291,32,T
64071,42.336036666666665,8.766346666666667,37.5,480751.523863649,4687113.520068291,32,T
64071,42.336036666666665,8.766346666666667,37.5,480751.523863649,4687113.520068291,32,T
64072,42.33604833333333,8.766333333333334,37.3,480750.4290145549,4687114.8184989225,32,T
