Time,Latitude,Longitude,Altitude,Easting,Northing,Zone,Letter
5708,42.333958333333335,8.768235,30.9,480906.4571056085,4686882.3258777475,32,T
5708,42.333958333333335,8.768235,30.9,480906.4571056085,4686882.3258777475,32,T
5708,42.333958333333335,8.768235,30.9,480906.4571056085,4686882.3258777475,32,T
5709,42.333958333333335,8.768235,30.9,480906.4571056085,4686882.3258777475,32,T
5709,42.333958333333335,8.768235,30.9,480906.4571056085,4686882.3258777475,32,T
5709,42.333958333333335,8.768235,30.9,480906.4571056085,4686882.3258777475,32,T
5710,42.333958333333335,8.768235,30.9,480906.4571056085,4686882.3258777475,32,T
5710,42.333958333333335,8.768235,30.9,480906.4571056085,4686882.3258777475,32,T
5710,42.333958333333335,8.768235,30.9,480906.4571056085,4686882.3258777475,32,T
5711,42.333958333333335,8.768235,30.9,480906.4571056085,4686882.3258777475,32,T
5711,42.333958333333335,8.768235,30.9,480906.4571056085,4686882.3258777475,32,T
5711,42.333958333333335,8.768235,30.9,480906.4571056085,4686882.3258777475,32,T
5711,42.333958333333335,8.768235,30.9,480906.4571056085,4686882.3258777475,32,T
5711,42.333958333333335,8.768235,30.9,480906.4571056085,4686882.3258777475,32,T
5711,42.333958333333335,8.768235,30.9,480906.4571056085,4686882.3258777475,32,T
5712,42.333958333333335,8.768235,31.0,480906.4571056085,4686882.3258777475,32,T
5712,42.333958333333335,8.768235,31.0,480906.4571056085,4686882.3258777475,32,T
5712,42.333958333333335,8.768235,31.0,480906.4571056085,4686882.3258777475,32,T
5713,42.333958333333335,8.768235,31.0,480906.4571056085,4686882.3258777475,32,T
5713,42.333958333333335,8.768235,31.0,480906.4571056085,4686882.3258777475,32,T
5713,42.333958333333335,8.768235,31.0,480906.4571056085,4686882.3258777475,32,T
5714,42.333958333333335,8.768233333333333,31.0,480906.3198001989,4686882.326251793,32,T
5714,42.333958333333335,8.768233333333333,31.0,480906.3198001989,4686882.326251793,32,T
5714,42.333958333333335,8.768233333333333,31.0,480906.3198001989,4686882.326251793,32,T
5715,42.333958333333335,8.768233333333333,31.0,480906.3198001989,4686882.326251793,32,T
5715,42.333958333333335,8.768233333333333,31.0,480906.3198001989,4686882.326251793,32,T
5715,42.333958333333335,8.768233333333333,31.0,480906.3198001989,4686882.326251793,32,T
5716,42.333958333333335,8.768233333333333,31.0,480906.3198001989,4686882.326251793,32,T
5716,42.333958333333335,8.768233333333333,31.0,480906.3198001989,4686882.326251793,32,T
5716,42.333958333333335,8.768233333333333,31.0,480906.3198001989,4686882.326251793,32,T
5716,42.333958333333335,8.768233333333333,31.0,480906.3198001989,4686882.326251793,32,T
5716,42.333958333333335,8.768233333333333,31.0,480906.3198001989,4686882.326251793,32,T
5716,42.333958333333335,8.768233333333333,31.0,480906.3198001989,4686882.326251793,32,T
5717,42.333958333333335,8.768233333333333,31.0,480906.3198001989,4686882.326251793,32,T
5717,42.333958333333335,8.768233333333333,31.0,480906.3198001989,4686882.326251793,32,T
5717,42.333958333333335,8.768233333333333,31.0,480906.3198001989,4686882.326251793,32,T
5718,42.333956666666666,8.768233333333333,31.0,480906.31929606386,4686882.141192746,32,T
5718,42.333956666666666,8.768233333333333,31.0,480906.31929606386,4686882.141192746,32,T
5718,42.333956666666666,8.768233333333333,31.0,480906.31929606386,4686882.141192746,32,T
5719,42.333956666666666,8.768233333333333,31.0,480906.31929606386,4686882.141192746,32,T
5719,42.333956666666666,8.768233333333333,31.0,480906.31929606386,4686882.141192746,32,T
5719,42.333956666666666,8.768233333333333,31.0,480906.31929606386,4686882.141192746,32,T
5720,42.333956666666666,8.768233333333333,31.1,480906.31929606386,4686882.141192746,32,T
5720,42.333956666666666,8.768233333333333,31.1,480906.31929606386,4686882.141192746,32,T
5720,42.333956666666666,8.768233333333333,31.1,480906.31929606386,4686882.141192746,32,T
5721,42.333956666666666,8.768233333333333,31.1,480906.31929606386,4686882.141192746,32,T
5721,42.333956666666666,8.768233333333333,31.1,480906.31929606386,4686882.141192746,32,T
5721,42.333956666666666,8.768233333333333,31.1,480906.31929606386,4686882.141192746,32,T
5721,42.333956666666666,8.768233333333333,31.1,480906.31929606386,4686882.141192746,32,T
5721,42.333956666666666,8.768233333333333,31.1,480906.31929606386,4686882.141192746,32,T
5721,42.333956666666666,8.768233333333333,31.1,480906.31929606386,4686882.141192746,32,T
5722,42.333956666666666,8.768231666666667,31.1,480906.1819906527,4686882.141566793,32,T
5722,42.333956666666666,8.768231666666667,31.1,480906.1819906527,4686882.141566793,32,T
5722,42.333956666666666,8.768231666666667,31.1,480906.1819906527,4686882.141566793,32,T
5723,42.333956666666666,8.768231666666667,31.1,480906.1819906527,4686882.141566793,32,T
5723,42.333956666666666,8.768231666666667,31.1,480906.1819906527,4686882.141566793,32,T
5723,42.333956666666666,8.768231666666667,31.1,480906.1819906527,4686882.141566793,32,T
5724,42.333956666666666,8.768231666666667,31.1,480906.1819906527,4686882.141566793,32,T
5724,42.333956666666666,8.768231666666667,31.1,480906.1819906527,4686882.141566793,32,T
5724,42.333956666666666,8.768231666666667,31.1,480906.1819906527,4686882.141566793,32,T
5725,42.333956666666666,8.768231666666667,31.1,480906.1819906527,4686882.141566793,32,T
5725,42.333956666666666,8.768231666666667,31.1,480906.1819906527,4686882.141566793,32,T
5725,42.333956666666666,8.768231666666667,31.1,480906.1819906527,4686882.141566793,32,T
5726,42.333956666666666,8.768231666666667,31.1,480906.1819906527,4686882.141566793,32,T
5726,42.333956666666666,8.768231666666667,31.1,480906.1819906527,4686882.141566793,32,T
5726,42.333956666666666,8.768231666666667,31.1,480906.1819906527,4686882.141566793,32,T
5726,42.333956666666666,8.768231666666667,31.1,480906.1819906527,4686882.141566793,32,T
5726,42.333956666666666,8.768231666666667,31.1,480906.1819906527,4686882.141566793,32,T
5726,42.333956666666666,8.768231666666667,31.1,480906.1819906527,4686882.141566793,32,T
5727,42.333956666666666,8.768231666666667,31.2,480906.1819906527,4686882.141566793,32,T
5727,42.333956666666666,8.768231666666667,31.2,480906.1819906527,4686882.141566793,32,T
5727,42.333956666666666,8.768231666666667,31.2,480906.1819906527,4686882.141566793,32,T
5728,42.333956666666666,8.768231666666667,31.2,480906.1819906527,4686882.141566793,32,T
5728,42.333956666666666,8.768231666666667,31.2,480906.1819906527,4686882.141566793,32,T
5728,42.333956666666666,8.768231666666667,31.2,480906.1819906527,4686882.141566793,32,T
5729,42.333956666666666,8.768231666666667,31.2,480906.1819906527,4686882.141566793,32,T
5729,42.333956666666666,8.768231666666667,31.2,480906.1819906527,4686882.141566793,32,T
